"","Date.Time","Lat","Lon","Base","Date_Time","Month","Day","Hour"
"125",2014-04-01 07:22:00,40.7406,-73.9983,"B02512",2014-04-01 07:22:00,4,1,7
"126",2014-04-01 07:23:00,40.8364,-74.1461,"B02512",2014-04-01 07:23:00,4,1,7
"127",2014-04-01 07:24:00,40.7452,-73.991,"B02512",2014-04-01 07:24:00,4,1,7
"128",2014-04-01 07:25:00,40.7805,-73.9481,"B02512",2014-04-01 07:25:00,4,1,7
"129",2014-04-01 07:25:00,40.7805,-73.9481,"B02512",2014-04-01 07:25:00,4,1,7
"130",2014-04-01 07:26:00,40.7814,-73.9513,"B02512",2014-04-01 07:26:00,4,1,7
"131",2014-04-01 07:26:00,40.7864,-73.9699,"B02512",2014-04-01 07:26:00,4,1,7
"132",2014-04-01 07:27:00,40.783,-73.9559,"B02512",2014-04-01 07:27:00,4,1,7
"133",2014-04-01 07:28:00,40.7582,-73.9928,"B02512",2014-04-01 07:28:00,4,1,7
"134",2014-04-01 07:29:00,40.7216,-74.0046,"B02512",2014-04-01 07:29:00,4,1,7
"135",2014-04-01 07:29:00,40.7298,-73.9988,"B02512",2014-04-01 07:29:00,4,1,7
"136",2014-04-01 07:29:00,40.7746,-73.956,"B02512",2014-04-01 07:29:00,4,1,7
"137",2014-04-01 07:30:00,40.7208,-73.994,"B02512",2014-04-01 07:30:00,4,1,7
"138",2014-04-01 07:32:00,40.7669,-73.9617,"B02512",2014-04-01 07:32:00,4,1,7
"139",2014-04-01 07:32:00,40.7084,-74.0064,"B02512",2014-04-01 07:32:00,4,1,7
"140",2014-04-01 07:35:00,40.7425,-73.9942,"B02512",2014-04-01 07:35:00,4,1,7
"141",2014-04-01 07:35:00,40.7424,-73.9838,"B02512",2014-04-01 07:35:00,4,1,7
"142",2014-04-01 07:35:00,40.7724,-73.955,"B02512",2014-04-01 07:35:00,4,1,7
"143",2014-04-01 07:37:00,40.7787,-73.9559,"B02512",2014-04-01 07:37:00,4,1,7
"144",2014-04-01 07:38:00,40.7752,-73.9637,"B02512",2014-04-01 07:38:00,4,1,7
"145",2014-04-01 07:38:00,40.7754,-73.95,"B02512",2014-04-01 07:38:00,4,1,7
"146",2014-04-01 07:38:00,40.7368,-74.0044,"B02512",2014-04-01 07:38:00,4,1,7
"147",2014-04-01 07:40:00,40.7174,-73.9924,"B02512",2014-04-01 07:40:00,4,1,7
"148",2014-04-01 07:42:00,40.7305,-73.9934,"B02512",2014-04-01 07:42:00,4,1,7
"149",2014-04-01 07:45:00,40.7747,-73.9613,"B02512",2014-04-01 07:45:00,4,1,7
"150",2014-04-01 07:45:00,40.7229,-73.994,"B02512",2014-04-01 07:45:00,4,1,7
"151",2014-04-01 07:46:00,40.7396,-73.981,"B02512",2014-04-01 07:46:00,4,1,7
"152",2014-04-01 07:46:00,40.725,-73.9994,"B02512",2014-04-01 07:46:00,4,1,7
"153",2014-04-01 07:50:00,40.695,-74.1774,"B02512",2014-04-01 07:50:00,4,1,7
"154",2014-04-01 07:51:00,40.719,-74.0064,"B02512",2014-04-01 07:51:00,4,1,7
"155",2014-04-01 07:51:00,40.8271,-73.9726,"B02512",2014-04-01 07:51:00,4,1,7
"156",2014-04-01 07:53:00,40.7793,-73.9495,"B02512",2014-04-01 07:53:00,4,1,7
"157",2014-04-01 07:54:00,40.7266,-73.9801,"B02512",2014-04-01 07:54:00,4,1,7
"158",2014-04-01 07:55:00,40.6922,-74.1811,"B02512",2014-04-01 07:55:00,4,1,7
"159",2014-04-01 07:56:00,40.7418,-74.0074,"B02512",2014-04-01 07:56:00,4,1,7
"160",2014-04-01 07:56:00,40.7108,-73.9845,"B02512",2014-04-01 07:56:00,4,1,7
"161",2014-04-01 07:57:00,40.7857,-73.9802,"B02512",2014-04-01 07:57:00,4,1,7
"162",2014-04-01 07:59:00,40.7757,-73.9502,"B02512",2014-04-01 07:59:00,4,1,7
"163",2014-04-01 08:01:00,40.7514,-73.9699,"B02512",2014-04-01 08:01:00,4,1,8
"164",2014-04-01 08:02:00,40.7343,-73.9936,"B02512",2014-04-01 08:02:00,4,1,8
"165",2014-04-01 08:05:00,40.734,-74.0094,"B02512",2014-04-01 08:05:00,4,1,8
"166",2014-04-01 08:05:00,40.718,-74.0099,"B02512",2014-04-01 08:05:00,4,1,8
"167",2014-04-01 08:07:00,40.7287,-73.9805,"B02512",2014-04-01 08:07:00,4,1,8
"168",2014-04-01 08:08:00,40.758,-73.9707,"B02512",2014-04-01 08:08:00,4,1,8
"169",2014-04-01 08:08:00,40.692,-74.1813,"B02512",2014-04-01 08:08:00,4,1,8
"170",2014-04-01 08:08:00,40.778,-73.9487,"B02512",2014-04-01 08:08:00,4,1,8
"171",2014-04-01 08:08:00,40.7658,-73.9692,"B02512",2014-04-01 08:08:00,4,1,8
"172",2014-04-01 08:08:00,40.7222,-74.0104,"B02512",2014-04-01 08:08:00,4,1,8
"173",2014-04-01 08:10:00,40.7329,-73.9881,"B02512",2014-04-01 08:10:00,4,1,8
"174",2014-04-01 08:11:00,40.7659,-73.9766,"B02512",2014-04-01 08:11:00,4,1,8
"175",2014-04-01 08:16:00,40.7789,-73.9618,"B02512",2014-04-01 08:16:00,4,1,8
"176",2014-04-01 08:18:00,40.789,-73.9743,"B02512",2014-04-01 08:18:00,4,1,8
"177",2014-04-01 08:19:00,40.7617,-73.9843,"B02512",2014-04-01 08:19:00,4,1,8
"178",2014-04-01 08:19:00,40.7214,-73.9475,"B02512",2014-04-01 08:19:00,4,1,8
"179",2014-04-01 08:20:00,40.7595,-73.9913,"B02512",2014-04-01 08:20:00,4,1,8
"180",2014-04-01 08:21:00,40.7931,-73.9748,"B02512",2014-04-01 08:21:00,4,1,8
"181",2014-04-01 08:21:00,40.7371,-74.0004,"B02512",2014-04-01 08:21:00,4,1,8
"182",2014-04-01 08:22:00,40.7345,-73.996,"B02512",2014-04-01 08:22:00,4,1,8
"183",2014-04-01 08:24:00,40.7747,-73.9912,"B02512",2014-04-01 08:24:00,4,1,8
"184",2014-04-01 08:24:00,40.8822,-73.9211,"B02512",2014-04-01 08:24:00,4,1,8
"185",2014-04-01 08:25:00,40.762,-73.9787,"B02512",2014-04-01 08:25:00,4,1,8
"186",2014-04-01 08:25:00,40.762,-73.9787,"B02512",2014-04-01 08:25:00,4,1,8
"187",2014-04-01 08:27:00,40.7326,-74.0038,"B02512",2014-04-01 08:27:00,4,1,8
"188",2014-04-01 08:28:00,40.7555,-73.9737,"B02512",2014-04-01 08:28:00,4,1,8
"189",2014-04-01 08:28:00,40.7596,-73.9854,"B02512",2014-04-01 08:28:00,4,1,8
"190",2014-04-01 08:29:00,40.6904,-74.1778,"B02512",2014-04-01 08:29:00,4,1,8
"191",2014-04-01 08:29:00,40.6904,-74.1778,"B02512",2014-04-01 08:29:00,4,1,8
"192",2014-04-01 08:30:00,40.7408,-73.9914,"B02512",2014-04-01 08:30:00,4,1,8
"193",2014-04-01 08:32:00,40.6819,-73.9358,"B02512",2014-04-01 08:32:00,4,1,8
"194",2014-04-01 08:32:00,40.7624,-73.9714,"B02512",2014-04-01 08:32:00,4,1,8
"195",2014-04-01 08:36:00,40.7805,-73.9548,"B02512",2014-04-01 08:36:00,4,1,8
"196",2014-04-01 08:39:00,40.7889,-73.9542,"B02512",2014-04-01 08:39:00,4,1,8
"197",2014-04-01 08:42:00,40.7835,-73.9513,"B02512",2014-04-01 08:42:00,4,1,8
"198",2014-04-01 08:43:00,40.7651,-73.9617,"B02512",2014-04-01 08:43:00,4,1,8
"199",2014-04-01 08:43:00,40.7261,-73.9918,"B02512",2014-04-01 08:43:00,4,1,8
"200",2014-04-01 08:44:00,40.7303,-73.9937,"B02512",2014-04-01 08:44:00,4,1,8
"201",2014-04-01 08:44:00,40.8736,-74.0628,"B02512",2014-04-01 08:44:00,4,1,8
"202",2014-04-01 08:45:00,40.724,-73.9981,"B02512",2014-04-01 08:45:00,4,1,8
"203",2014-04-01 08:46:00,40.7744,-73.9578,"B02512",2014-04-01 08:46:00,4,1,8
"204",2014-04-01 08:49:00,40.7607,-73.9861,"B02512",2014-04-01 08:49:00,4,1,8
"205",2014-04-01 08:49:00,40.7749,-73.9841,"B02512",2014-04-01 08:49:00,4,1,8
"206",2014-04-01 08:51:00,40.7625,-73.9724,"B02512",2014-04-01 08:51:00,4,1,8
"207",2014-04-01 08:52:00,40.7377,-73.9965,"B02512",2014-04-01 08:52:00,4,1,8
"208",2014-04-01 08:54:00,40.7388,-74.0087,"B02512",2014-04-01 08:54:00,4,1,8
"209",2014-04-01 08:56:00,40.7677,-73.981,"B02512",2014-04-01 08:56:00,4,1,8
"210",2014-04-01 08:58:00,40.7691,-73.9652,"B02512",2014-04-01 08:58:00,4,1,8
"211",2014-04-01 08:58:00,40.7816,-73.9602,"B02512",2014-04-01 08:58:00,4,1,8
"212",2014-04-01 08:58:00,40.7739,-73.8717,"B02512",2014-04-01 08:58:00,4,1,8
"213",2014-04-01 09:00:00,40.7841,-73.9542,"B02512",2014-04-01 09:00:00,4,1,9
"214",2014-04-01 09:02:00,40.7426,-73.9963,"B02512",2014-04-01 09:02:00,4,1,9
"215",2014-04-01 09:05:00,40.771,-73.8669,"B02512",2014-04-01 09:05:00,4,1,9
"216",2014-04-01 09:06:00,40.775,-73.9888,"B02512",2014-04-01 09:06:00,4,1,9
"217",2014-04-01 09:07:00,40.7356,-74.0029,"B02512",2014-04-01 09:07:00,4,1,9
"218",2014-04-01 09:08:00,40.7666,-73.9784,"B02512",2014-04-01 09:08:00,4,1,9
"219",2014-04-01 09:10:00,40.7118,-73.9499,"B02512",2014-04-01 09:10:00,4,1,9
"220",2014-04-01 09:12:00,40.7097,-74.0153,"B02512",2014-04-01 09:12:00,4,1,9
"221",2014-04-01 09:15:00,40.7438,-74.0061,"B02512",2014-04-01 09:15:00,4,1,9
"222",2014-04-01 09:16:00,40.76,-73.9861,"B02512",2014-04-01 09:16:00,4,1,9
"223",2014-04-01 09:16:00,40.7752,-73.9635,"B02512",2014-04-01 09:16:00,4,1,9
"224",2014-04-01 09:23:00,40.7788,-73.956,"B02512",2014-04-01 09:23:00,4,1,9
"225",2014-04-01 09:24:00,40.8078,-73.9639,"B02512",2014-04-01 09:24:00,4,1,9
"226",2014-04-01 09:24:00,40.7631,-73.9784,"B02512",2014-04-01 09:24:00,4,1,9
"227",2014-04-01 09:25:00,40.7788,-73.951,"B02512",2014-04-01 09:25:00,4,1,9
"228",2014-04-01 09:25:00,40.7714,-73.9594,"B02512",2014-04-01 09:25:00,4,1,9
"229",2014-04-01 09:28:00,40.7694,-73.983,"B02512",2014-04-01 09:28:00,4,1,9
"230",2014-04-01 09:30:00,40.733,-73.9901,"B02512",2014-04-01 09:30:00,4,1,9
"231",2014-04-01 09:32:00,40.7412,-73.9878,"B02512",2014-04-01 09:32:00,4,1,9
"232",2014-04-01 09:35:00,40.7526,-73.975,"B02512",2014-04-01 09:35:00,4,1,9
"233",2014-04-01 09:38:00,40.7602,-73.9598,"B02512",2014-04-01 09:38:00,4,1,9
"234",2014-04-01 09:42:00,40.773,-73.9669,"B02512",2014-04-01 09:42:00,4,1,9
"235",2014-04-01 09:46:00,40.7628,-73.9948,"B02512",2014-04-01 09:46:00,4,1,9
